annotation_id,question_id,prompt_id,split,question_type,difficulty,fact_type,label,binary_label,span_text,token_count,token_start_position,token_end_position,mean_token_nll,mean_token_entropy,max_token_entropy,mean_top2_margin,min_top2_margin,one_minus_mean_top2_margin,one_minus_min_top2_margin,mean_spilled_energy_delta,negative_mean_spilled_energy_delta,mean_spilled_energy_abs_delta,max_spilled_energy_abs_delta,mean_selected_step_energy_gap,max_selected_step_energy_gap,mean_spilled_probability_mass_after_top1,mean_spilled_probability_mass_after_top2,mean_token_logprob,mean_token_energy,mean_marginal_energy
ann_full100_draft_q_0020_001,q_0020,p_0020,dev,top_product_month,medium,month,correct_key_fact,0,March 2011,6,9,15,1.6e-05,0.000197,0.001089,0.999979,0.99988,2.1e-05,0.00012,-0.489124,0.489124,2.780792,7.80975,1.5e-05,8.8e-05,1.6e-05,1e-05,-1.6e-05,-33.729167,-33.240042
ann_full100_draft_q_0020_002,q_0020,p_0020,dev,top_product_month,medium,product_name,hallucinated_key_fact,1,JUMBO BAG STRAWBERRY,9,17,26,0.144431,0.257493,1.158525,0.84033,0,0.15967,1,0.334543,-0.334543,5.1101,9.457428,0.144432,0.917572,0.102058,0.044446,-0.144431,-28.555556,-28.890098
ann_full100_draft_q_0020_003,q_0020,p_0020,dev,top_product_month,medium,product_stock_code,hallucinated_key_fact,1,85099F,6,31,37,3.1e-05,0.000353,0.000988,0.999942,0.999823,5.8e-05,0.000177,-1.383849,1.383849,3.300515,5.24992,3.1e-05,9.2e-05,3.1e-05,4e-06,-3.1e-05,-33.666667,-32.282818
ann_full100_draft_q_0020_004,q_0020,p_0020,dev,top_product_month,medium,currency_amount,hallucinated_key_fact,1,5853.80 GBP,8,44,52,0.098329,0.109338,0.789823,0.879666,0.061426,0.120334,0.938574,-0.313739,0.313739,3.34736,7.125,0.098329,0.773624,0.061275,0.002215,-0.098329,-30.5,-30.186261
ann_full100_draft_q_0020_005,q_0020,p_0020,dev,top_product_month,medium,ranking,hallucinated_key_fact,1,ranking is second,3,55,58,0.401517,1.029386,1.275968,0.525166,0.051526,0.474834,0.948474,0.732262,-0.732262,0.952878,1.324377,0.401521,0.824377,0.302524,0.130214,-0.401517,-22.833333,-23.565595
ann_full100_draft_q_0033_001,q_0033,p_0033,dev,country_comparison_month,medium,month,correct_key_fact,0,April 2011,6,1,7,4.4e-05,0.000511,0.002987,0.999944,0.999674,5.59999999999e-05,0.000326,2e-06,-2e-06,3.291664,7.624994,4.5e-05,0.000261,4.4e-05,3.3e-05,-4.4e-05,-34.708333,-34.708336
ann_full100_draft_q_0033_002,q_0033,p_0033,dev,country_comparison_month,medium,country,hallucinated_key_fact,1,France,1,9,10,0.899285,0.687115,0.687115,0.185118,0.185118,0.814882,0.814882,-1.26095,1.26095,1.26095,1.26095,0.899284,0.899284,0.408021,0.001161,-0.899285,-27,-25.73905
ann_full100_draft_q_0033_003,q_0033,p_0033,dev,country_comparison_month,medium,comparison_direction,hallucinated_key_fact,1,generated more net revenue,4,11,15,0.006813,0.041353,0.139906,0.989002,0.959883,0.010998,0.040117,-0.679804,0.679804,5.055367,10.619989,0.006814,0.024649,0.006737,0.002476,-0.006813,-28.65625,-27.976446
ann_full100_draft_q_0033_004,q_0033,p_0033,dev,country_comparison_month,medium,currency_amount,correct_key_fact,0,4195.21 GBP,8,23,31,0.033736,0.131612,0.626166,0.946192,0.751464,0.053808,0.248536,-0.142789,0.142789,1.963725,3.250004,0.033736,0.174356,0.031715,0.009623,-0.033736,-28.9375,-28.794711
ann_full100_draft_q_0033_005,q_0033,p_0033,dev,country_comparison_month,medium,currency_amount,correct_key_fact,0,11963.37 GBP,9,40,49,0.000565,0.003863,0.030373,0.998896,0.990702,0.001104,0.009298,-0.481716,0.481716,2.342844,8.090248,0.000565,0.0047,0.000564,2.3e-05,-0.000565,-30.361111,-29.879396
ann_full100_draft_q_0033_006,q_0033,p_0033,dev,country_comparison_month,medium,currency_amount,hallucinated_key_fact,1,-1334.40 GBP,9,58,67,0.114456,0.312881,2.274654,0.891366,0.257694,0.108634,0.742306,0.324939,-0.324939,2.063765,4.125063,0.114459,0.897326,0.079863,0.051092,-0.114456,-26.027778,-26.352716
ann_full100_draft_q_0033_007,q_0033,p_0033,dev,country_comparison_month,medium,currency_amount,hallucinated_key_fact,1,-352.17 GBP,8,83,91,0.001527,0.011624,0.083709,0.997712,0.982815,0.002288,0.017185,-0.258627,0.258627,2.852567,7.94486,0.001527,0.011374,0.001519,0.000751,-0.001527,-29,-28.741373
ann_full100_draft_q_0033_008,q_0033,p_0033,dev,country_comparison_month,medium,currency_amount,hallucinated_key_fact,1,-1334.40 GBP,9,96,105,0.13591,0.446575,1.882702,0.83798,0.327797,0.16202,0.672203,0.316312,-0.316312,1.773035,4.000357,0.135915,0.656704,0.109707,0.057394,-0.13591,-24.791667,-25.107979
ann_full100_draft_q_0034_001,q_0034,p_0034,test,country_comparison_month,medium,country,hallucinated_key_fact,1,France,1,0,1,1.434414,1.009174,1.009174,0.333289,0.333289,0.666711,0.666711,-1.732981,1.732981,1.732981,1.732981,1.434414,1.434414,0.428456,0.190201,-1.434414,-26.25,-24.517019
ann_full100_draft_q_0034_002,q_0034,p_0034,test,country_comparison_month,medium,comparison_direction,hallucinated_key_fact,1,generated more net revenue,4,1,5,0.00755,0.057386,0.127141,0.989628,0.97728,0.010372,0.02272,0.05134,-0.05134,5.205251,10.307821,0.00755,0.017019,0.0075,0.004628,-0.00755,-27.96875,-28.02009
ann_full100_draft_q_0034_003,q_0034,p_0034,test,country_comparison_month,medium,currency_amount,correct_key_fact,0,17518.68 GBP,9,6,15,0.040389,0.116438,0.593508,0.931577,0.507229,0.068423,0.492771,0.084802,-0.084802,4.457762,8.589693,0.04039,0.286266,0.036121,0.00382,-0.040389,-29.972222,-30.057024
ann_full100_draft_q_0034_004,q_0034,p_0034,test,country_comparison_month,medium,currency_amount,correct_key_fact,0,25554.85 GBP,9,19,28,5.3e-05,0.000529,0.003648,0.999902,0.999221,9.8e-05,0.000779,-0.551837,0.551837,2.579619,9.716967,5.3e-05,0.000399,5.3e-05,8e-06,-5.3e-05,-32.416667,-31.86483
ann_full100_draft_q_0034_005,q_0034,p_0034,test,country_comparison_month,medium,currency_amount,hallucinated_key_fact,1,-87.80 GBP,7,37,44,0.349843,0.366288,1.662088,0.852105,0.39769,0.147895,0.60231,0.287535,-0.287535,2.541339,4.623629,0.349846,2.169609,0.105306,0.062718,-0.349843,-24.678571,-24.966106
ann_full100_draft_q_0034_006,q_0034,p_0034,test,country_comparison_month,medium,unsupported_business_claim,hallucinated_key_fact,1,The Netherlands and United Kingdom have the lowest net revenues,10,45,55,0.680735,1.168013,2.382447,0.436818,0,0.563182,1,0.598905,-0.598905,2.19745,6.997738,0.680745,1.521818,0.361755,0.160328,-0.680735,-22.3375,-22.936405
ann_full100_draft_q_0053_001,q_0053,p_0053,dev,monthly_revenue_change,hard,month,correct_key_fact,0,April 2011,6,4,10,0.027728,0.090975,0.543176,0.955325,0.732318,0.044675,0.267682,0.563148,-0.563148,3.270264,4.75,0.027728,0.166128,0.02555,0.006425,-0.027728,-31.854167,-32.417315
ann_full100_draft_q_0053_002,q_0053,p_0053,dev,monthly_revenue_change,hard,currency_amount,correct_key_fact,0,"492,367.84 GBP",11,12,23,0.030863,0.079201,0.800549,0.954194,0.513074,0.045806,0.486926,0.061618,-0.061618,3.142995,5.875347,0.030863,0.329756,0.02642,0.007034,-0.030863,-31.920455,-31.982072
ann_full100_draft_q_0053_003,q_0053,p_0053,dev,monthly_revenue_change,hard,month,correct_key_fact,0,May 2011,6,26,32,7.3e-05,0.000765,0.003862,0.999884,0.999386,0.000116,0.000614,-0.819034,0.819034,3.527368,6.039591,7.3e-05,0.000383,7.3e-05,3.1e-05,-7.3e-05,-31.708333,-30.889299
ann_full100_draft_q_0053_004,q_0053,p_0053,dev,monthly_revenue_change,hard,currency_amount,correct_key_fact,0,"722,094.10 GBP",11,36,47,2.2e-05,0.000253,0.00128,0.999961,0.999769,3.9e-05,0.000231,-0.81443,0.81443,3.518978,10.458956,2.2e-05,0.000122,2.2e-05,5e-06,-2.2e-05,-34.602273,-33.787842
ann_full100_draft_q_0053_005,q_0053,p_0053,dev,monthly_revenue_change,hard,currency_amount,correct_key_fact,0,"229,726.26 GBP",11,54,65,0.012288,0.060767,0.44379,0.981244,0.877578,0.018756,0.122422,-0.132169,0.132169,2.905131,5.000368,0.012288,0.091045,0.011863,0.004971,-0.012288,-27.909091,-27.776922
ann_full100_draft_q_0053_006,q_0053,p_0053,dev,monthly_revenue_change,hard,percentage,hallucinated_key_fact,1,48.97%,6,72,78,1.270152,1.437812,2.421487,0.36658,0,0.63342,1,2.112377,-2.112377,4.670494,9.279318,1.270172,2.457798,0.514441,0.395462,-1.270152,-21.333333,-23.445711
ann_full100_draft_q_0059_001,q_0059,p_0059,test,monthly_revenue_change,hard,month,correct_key_fact,0,November 2011,6,4,10,0.034535,0.116359,0.694885,0.952566,0.716005,0.047434,0.283995,0.241384,-0.241384,3.467058,8.427025,0.034534,0.206881,0.031202,0.014969,-0.034535,-31.041667,-31.28305
ann_full100_draft_q_0059_002,q_0059,p_0059,test,monthly_revenue_change,hard,currency_amount,hallucinated_key_fact,1,"145,614.50 GBP",11,12,23,0.100644,0.140795,0.689185,0.875128,0.12431,0.124872,0.87569,-0.178247,0.178247,3.792766,8.062737,0.100644,0.826284,0.063426,0.00198,-0.100644,-28.795455,-28.617208
ann_full100_draft_q_0059_003,q_0059,p_0059,test,monthly_revenue_change,hard,percentage,hallucinated_key_fact,1,29.75%,6,28,34,1.525353,1.663476,2.601305,0.374412,0,0.625588,1,2.22367,-2.22367,4.859459,7.50061,1.525368,2.819036,0.54124,0.456892,-1.525353,-22.229167,-24.452837
ann_full100_draft_q_0059_004,q_0059,p_0059,test,monthly_revenue_change,hard,comparison_direction,correct_key_fact,0,increase,1,35,36,0.124101,0.469527,0.469527,0.790192,0.790192,0.209808,0.209808,-0.180164,0.180164,0.180164,0.180164,0.124102,0.124102,0.11671,0.023611,-0.124101,-26,-25.819836
ann_full100_draft_q_0059_005,q_0059,p_0059,test,monthly_revenue_change,hard,month,correct_key_fact,0,October 2011,6,37,43,0.035555,0.12187,0.693932,0.950895,0.715127,0.049105,0.284873,0.164621,-0.164621,2.587117,4.8925,0.035556,0.208107,0.032183,0.015261,-0.035555,-28.729167,-28.893788
ann_full100_draft_q_0059_006,q_0059,p_0059,test,monthly_revenue_change,hard,currency_amount,hallucinated_key_fact,1,"106,936.83 GBP",11,45,56,0.087154,0.110851,0.705109,0.898304,0.123969,0.101696,0.876031,-0.386458,0.386458,2.659664,7.170965,0.087154,0.829035,0.051387,0.001079,-0.087154,-28.727273,-28.340815
ann_full100_draft_q_0059_007,q_0059,p_0059,test,monthly_revenue_change,hard,currency_amount,hallucinated_key_fact,1,"38,677.67 GBP",10,62,72,0.02329,0.10278,0.712739,0.969312,0.759434,0.030688,0.240566,0.030239,-0.030239,2.124364,4.002253,0.023291,0.189537,0.021582,0.012476,-0.02329,-25.45,-25.480239
ann_full100_draft_q_0063_001,q_0063,p_0063,dev,top3_products_month,medium,month,correct_key_fact,0,March 2011,6,10,16,1.3e-05,0.000167,0.000863,0.999982,0.999903,1.8e-05,9.7e-05,-0.837292,0.837292,3.587292,8.523758,1.3e-05,6.9e-05,1.3e-05,8e-06,-1.3e-05,-33.583333,-32.746042
ann_full100_draft_q_0063_002,q_0063,p_0063,dev,top3_products_month,medium,ranking,hallucinated_key_fact,1,1.,2,19,21,0.097707,0.266344,0.528806,0.830032,0.660801,0.169968,0.339199,-2.396714,2.396714,2.897115,5.293829,0.097707,0.195013,0.088788,0.007609,-0.097707,-27.375,-24.978286
ann_full100_draft_q_0063_003,q_0063,p_0063,dev,top3_products_month,medium,product_name,hallucinated_key_fact,1,JUMBO BAG STRAWBERRY,9,22,31,0.095953,0.198348,1.627005,0.901679,0.170925,0.098321,0.829075,0.355112,-0.355112,5.200733,9.471533,0.095954,0.83379,0.06611,0.0339,-0.095953,-28.791667,-29.146779
ann_full100_draft_q_0063_004,q_0063,p_0063,dev,top3_products_month,medium,product_stock_code,hallucinated_key_fact,1,85099F,6,33,39,0.186019,0.301488,1.713492,0.835009,0.04439,0.164991,0.95561,0.514447,-0.514447,4.610561,8.000023,0.18602,1.098465,0.106624,0.048257,-0.186019,-29.541667,-30.056114
ann_full100_draft_q_0063_005,q_0063,p_0063,dev,top3_products_month,medium,currency_amount,hallucinated_key_fact,1,GBP 5853.80,9,45,54,0.134355,0.233852,1.192655,0.817519,0.185186,0.182481,0.814814,0.002198,-0.002198,3.399326,5.750031,0.134355,0.628157,0.103308,0.024136,-0.134355,-28.722222,-28.724421
ann_full100_draft_q_0063_006,q_0063,p_0063,dev,top3_products_month,medium,ranking,hallucinated_key_fact,1,2.,2,56,58,1.2e-05,0.000168,0.000326,0.999983,0.999967,1.7e-05,3.29999999999e-05,-1.562481,1.562481,1.562481,2.249962,1.1e-05,2.3e-05,1.2e-05,8e-06,-1.2e-05,-29.5625,-28.000019
ann_full100_draft_q_0063_007,q_0063,p_0063,dev,top3_products_month,medium,product_name,hallucinated_key_fact,1,JUMBO BAG PINK POLKADOT,11,59,70,0.055602,0.081866,0.824189,0.917797,0.121596,0.082203,0.878404,0.501212,-0.501212,3.36249,7.737116,0.055602,0.598364,0.042133,0.002063,-0.055602,-30.818182,-31.319394
ann_full100_draft_q_0063_008,q_0063,p_0063,dev,top3_products_month,medium,product_stock_code,hallucinated_key_fact,1,22386,5,72,77,6.9e-05,0.000637,0.003111,0.999863,0.999323,0.000137,0.000677,-1.174645,1.174645,3.374645,7.623569,7e-05,0.000341,6.9e-05,2e-06,-6.9e-05,-33.1,-31.925355
ann_full100_draft_q_0063_009,q_0063,p_0063,dev,top3_products_month,medium,currency_amount,hallucinated_key_fact,1,GBP 5079.29,9,83,92,3.3e-05,0.000359,0.002057,0.99994,0.999617,5.99999999999e-05,0.000383,-0.361064,0.361064,2.722179,4.874811,3.3e-05,0.000204,3.3e-05,6e-06,-3.3e-05,-32.25,-31.888936
ann_full100_draft_q_0063_010,q_0063,p_0063,dev,top3_products_month,medium,ranking,hallucinated_key_fact,1,3.,2,94,96,2e-06,3.1e-05,4.3e-05,0.999998,0.999996,1.99999999995e-06,4e-06,-1.99999,1.99999,2.25001,4.25,2e-06,4e-06,2e-06,1e-06,-2e-06,-30.375,-28.37501
ann_full100_draft_q_0063_011,q_0063,p_0063,dev,top3_products_month,medium,product_name,hallucinated_key_fact,1,VINTAGE UNION JACK BUNTING,8,97,105,0.12674,0.104671,0.818009,0.90397,0.235881,0.09603,0.764119,0.59403,-0.59403,1.750085,5.250027,0.12674,1.011677,0.050344,0.004658,-0.12674,-30.265625,-30.859655
ann_full100_draft_q_0063_012,q_0063,p_0063,dev,top3_products_month,medium,product_stock_code,hallucinated_key_fact,1,21621,5,107,112,5e-06,6.1e-05,0.00026,0.99999,0.999957,9.99999999995e-06,4.3e-05,-1.44982,1.44982,3.64982,5.7491,5e-06,2.3e-05,5e-06,0,-5e-06,-34.55,-33.10018
ann_full100_draft_q_0063_013,q_0063,p_0063,dev,top3_products_month,medium,currency_amount,hallucinated_key_fact,1,GBP 5214.33,9,118,127,7e-06,8.8e-05,0.000313,0.999989,0.999956,1.1e-05,4.4e-05,-1.124383,1.124383,3.679947,7.869497,7e-06,2.7e-05,7e-06,2e-06,-7e-06,-33.611111,-32.486728
ann_full100_draft_q_0063_014,q_0063,p_0063,dev,top3_products_month,medium,unsupported_business_claim,hallucinated_key_fact,1,The rankings are based on the provided net_revenue_gbp values,13,129,142,0.51127,0.963248,2.108642,0.546371,0.038136,0.453629,0.961864,0.47199,-0.47199,4.067078,10.601341,0.511276,1.250324,0.299002,0.144375,-0.51127,-24.451923,-24.923913
ann_full100_draft_q_0077_001,q_0077,p_0077,test,product_revenue_share_month,hard,month,correct_key_fact,0,May 2011,6,7,13,1.8e-05,0.000228,0.001254,0.999976,0.999866,2.4e-05,0.000134,-1.195275,1.195275,4.77861,12.421659,1.8e-05,0.000103,1.8e-05,1.3e-05,-1.8e-05,-34.791667,-33.596391
ann_full100_draft_q_0077_002,q_0077,p_0077,test,product_revenue_share_month,hard,product_name,hallucinated_key_fact,1,WHITE HANGING HEART T-LIGHT HOLDER,10,18,28,0.057335,0.173535,1.709306,0.939909,0.403216,0.060091,0.596784,0.427069,-0.427069,2.87301,5.750185,0.057336,0.570713,0.043752,0.027412,-0.057335,-28.875,-29.302069
ann_full100_draft_q_0077_003,q_0077,p_0077,test,product_revenue_share_month,hard,percentage,hallucinated_key_fact,1,11.78%,6,31,37,0.956325,1.406269,2.278525,0.492736,0.042609,0.507264,0.957391,1.644559,-1.644559,3.373231,8.027103,0.956337,2.558208,0.413451,0.319638,-0.956325,-22.208333,-23.852893
ann_full100_draft_q_0077_004,q_0077,p_0077,test,product_revenue_share_month,hard,currency_amount,hallucinated_key_fact,1,"GBP 11,172.17",11,52,63,0.08612,0.111142,0.748338,0.884276,0.062012,0.115724,0.937988,0.278041,-0.278041,3.518008,6.124731,0.08612,0.764135,0.058198,0.000672,-0.08612,-30.363636,-30.641677
ann_full100_draft_q_0077_005,q_0077,p_0077,test,product_revenue_share_month,hard,currency_amount,correct_key_fact,0,"GBP 731,051.91",12,71,83,3.9e-05,0.00044,0.002092,0.999934,0.999697,6.6e-05,0.000303,-0.659142,0.659142,2.22165,7.284986,3.9e-05,0.000195,3.9e-05,1.2e-05,-3.9e-05,-33.197917,-32.538774
ann_full100_draft_q_0077_006,q_0077,p_0077,test,product_revenue_share_month,hard,percentage,hallucinated_key_fact,1,11.78%,6,88,94,0.022196,0.099595,0.270201,0.962096,0.864554,0.037904,0.135446,0.513245,-0.513245,0.88206,2.750019,0.022196,0.070345,0.021565,0.005226,-0.022196,-26.729167,-27.242412
ann_full100_draft_q_0093_001,q_0093,p_0093,test,return_impact_month,hard,month,correct_key_fact,0,April 2011,6,1,7,0.000253,0.002064,0.012372,0.999526,0.997159,0.000474,0.002841,0.166667,-0.166667,3.791666,7.874996,0.000253,0.001518,0.000253,3.2e-05,-0.000253,-35.479167,-35.645834
ann_full100_draft_q_0093_002,q_0093,p_0093,test,return_impact_month,hard,currency_amount,correct_key_fact,0,"£44,600.65",10,17,27,0.260367,0.350166,2.147708,0.826508,0.089517,0.173492,0.910483,0.38561,-0.38561,4.239864,9.375019,0.260367,1.320902,0.124683,0.075874,-0.260367,-28.55,-28.93561
ann_full100_draft_q_0093_003,q_0093,p_0093,test,return_impact_month,hard,currency_amount,hallucinated_key_fact,1,"£44,600.65",10,35,45,0.119515,0.218738,0.765919,0.819513,0,0.180487,1,0.274692,-0.274692,3.553642,10.875954,0.119515,0.703983,0.094507,0.008526,-0.119515,-26.5125,-26.787192
ann_full100_draft_q_0015_001,q_0015,p_0015,test,top_country_month,easy,month,correct_key_fact,0,September 2011,6,8,14,7e-06,9.7e-05,0.000495,0.999991,0.999956,9.00000000004e-06,4.4e-05,-0.587304,0.587304,3.170638,7.77383,7e-06,3.6e-05,7e-06,5e-06,-7e-06,-33.875,-33.287696
ann_full100_draft_q_0015_002,q_0015,p_0015,test,top_country_month,easy,country,correct_key_fact,0,United Kingdom,2,16,18,0.083277,0.231769,0.462862,0.849701,0.699505,0.150299,0.300495,0.809443,-0.809443,4.565615,5.375057,0.083277,0.166496,0.076716,0.003132,-0.083277,-27.4375,-28.246943
ann_full100_draft_q_0015_003,q_0015,p_0015,test,top_country_month,easy,currency_amount,hallucinated_key_fact,1,"£8,601,043.66",13,24,37,0.179652,0.303162,1.344978,0.795591,0.044345,0.204409,0.955655,0.123154,-0.123154,1.817695,4.37505,0.179653,1.099466,0.122499,0.040588,-0.179652,-28.548077,-28.671231
ann_full100_draft_q_0021_001,q_0021,p_0021,test,top_product_month,medium,month,correct_key_fact,0,April 2011,6,9,15,1.2e-05,0.000157,0.000858,0.999984,0.999911,1.6e-05,8.9e-05,-0.56025,0.56025,3.143584,7.861506,1.2e-05,6.7e-05,1.2e-05,8e-06,-1.2e-05,-33.979167,-33.418917
ann_full100_draft_q_0021_002,q_0021,p_0021,test,top_product_month,medium,product_name,hallucinated_key_fact,1,WOODEN UNION JACK BUNTING,8,17,25,0.149553,0.227708,1.669722,0.882698,0.087502,0.117302,0.912498,0.53849,-0.53849,2.278761,5.336102,0.149554,1.177414,0.077912,0.038523,-0.149553,-28.0625,-28.60099
ann_full100_draft_q_0021_003,q_0021,p_0021,test,top_product_month,medium,currency_amount,hallucinated_key_fact,1,GBP 4173.18,9,31,40,0.235407,0.185827,0.914389,0.839617,0.124347,0.160383,0.875653,0.100835,-0.100835,3.679302,10.554121,0.235407,1.532028,0.086979,0.013575,-0.235407,-30.430556,-30.531391
ann_full100_draft_q_0021_004,q_0021,p_0021,test,top_product_month,medium,ranking,hallucinated_key_fact,1,ranked 2nd,4,42,46,0.532575,0.948322,1.429705,0.572992,0.217579,0.427008,0.782421,0.493241,-0.493241,2.325316,5.003195,0.532578,1.383921,0.28694,0.146872,-0.532575,-23.5,-23.993241
ann_full100_draft_q_0021_005,q_0021,p_0021,test,top_product_month,medium,percentage,unsupported_claim,1,1.3% increase,5,49,54,1.216044,1.905551,2.33238,0.25132,0,0.74868,1,1.752694,-1.752694,2.287894,4.545618,1.216064,2.161999,0.626602,0.504523,-1.216044,-20.9,-22.652694
