question_id,split,question_type,difficulty,question,gold_short_answer,evidence_source
q_0069,test,top3_products_month,medium,"What were the top 3 products by merchandise net revenue in September 2011? Give the rank, stock code, product name, and net revenue.","Top 3 products in September 2011: 1. 23243 (SET OF TEA COFFEE SUGAR TINS PANTRY), GBP 9,971.51; 2. 22423 (REGENCY CAKESTAND 3 TIER), GBP 9,315.03; 3. 85099B (JUMBO BAG RED RETROSPOT), GBP 8,630.45.",product_month_net_revenue_summary.csv
q_0070,train,top3_products_month,medium,"What were the top 3 products by merchandise net revenue in October 2011? Give the rank, stock code, product name, and net revenue.","Top 3 products in October 2011: 1. 22423 (REGENCY CAKESTAND 3 TIER), GBP 12,635.34; 2. 23084 (RABBIT NIGHT LIGHT), GBP 12,249.71; 3. 23284 (DOORMAT KEEP CALM AND COME IN), GBP 10,103.70.",product_month_net_revenue_summary.csv
q_0071,train,top3_products_month,medium,"What were the top 3 products by merchandise net revenue in November 2011? Give the rank, stock code, product name, and net revenue.","Top 3 products in November 2011: 1. 23084 (RABBIT NIGHT LIGHT), GBP 34,343.77; 2. 22086 (PAPER CHAIN KIT 50'S CHRISTMAS), GBP 28,853.54; 3. 85123A (WHITE HANGING HEART T-LIGHT HOLDER), GBP 14,113.90.",product_month_net_revenue_summary.csv
q_0072,train,top3_products_month,medium,"What were the top 3 products by merchandise net revenue in December 2011 through December 9? Give the rank, stock code, product name, and net revenue.","Top 3 products in December 2011 through December 9: 1. 23084 (RABBIT NIGHT LIGHT), GBP 9,603.45; 2. 22086 (PAPER CHAIN KIT 50'S CHRISTMAS), GBP 6,867.76; 3. 22423 (REGENCY CAKESTAND 3 TIER), GBP 5,890.17.",product_month_net_revenue_summary.csv
q_0073,train,product_revenue_share_month,hard,What percentage of merchandise net revenue in January 2011 came from the top product?,"In January 2011, the top product (85123A - WHITE HANGING HEART T-LIGHT HOLDER) contributed GBP 15,174.26 out of GBP 578,914.41, or 2.62% of merchandise net revenue.",product_month_net_revenue_summary.csv
q_0074,train,product_revenue_share_month,hard,What percentage of merchandise net revenue in February 2011 came from the top product?,"In February 2011, the top product (22423 - REGENCY CAKESTAND 3 TIER) contributed GBP 10,491.54 out of GBP 499,514.57, or 2.10% of merchandise net revenue.",product_month_net_revenue_summary.csv
q_0075,train,product_revenue_share_month,hard,What percentage of merchandise net revenue in March 2011 came from the top product?,"In March 2011, the top product (22423 - REGENCY CAKESTAND 3 TIER) contributed GBP 16,817.85 out of GBP 679,212.52, or 2.48% of merchandise net revenue.",product_month_net_revenue_summary.csv
q_0076,dev,product_revenue_share_month,hard,What percentage of merchandise net revenue in April 2011 came from the top product?,"In April 2011, the top product (22423 - REGENCY CAKESTAND 3 TIER) contributed GBP 14,280.90 out of GBP 482,147.02, or 2.96% of merchandise net revenue.",product_month_net_revenue_summary.csv
q_0077,test,product_revenue_share_month,hard,What percentage of merchandise net revenue in May 2011 came from the top product?,"In May 2011, the top product (47566 - PARTY BUNTING) contributed GBP 19,093.30 out of GBP 731,051.91, or 2.61% of merchandise net revenue.",product_month_net_revenue_summary.csv
q_0078,train,product_revenue_share_month,hard,What percentage of merchandise net revenue in June 2011 came from the top product?,"In June 2011, the top product (22502 - PICNIC BASKET WICKER 60 PIECES) contributed GBP 39,619.50 out of GBP 723,970.15, or 5.47% of merchandise net revenue.",product_month_net_revenue_summary.csv
q_0079,train,product_revenue_share_month,hard,What percentage of merchandise net revenue in July 2011 came from the top product?,"In July 2011, the top product (47566 - PARTY BUNTING) contributed GBP 14,576.50 out of GBP 676,770.86, or 2.15% of merchandise net revenue.",product_month_net_revenue_summary.csv
q_0080,train,product_revenue_share_month,hard,What percentage of merchandise net revenue in August 2011 came from the top product?,"In August 2011, the top product (85099B - JUMBO BAG RED RETROSPOT) contributed GBP 10,441.77 out of GBP 701,361.85, or 1.49% of merchandise net revenue.",product_month_net_revenue_summary.csv
q_0081,dev,product_revenue_share_month,hard,What percentage of merchandise net revenue in September 2011 came from the top product?,"In September 2011, the top product (23243 - SET OF TEA COFFEE SUGAR TINS PANTRY) contributed GBP 9,971.51 out of GBP 1,011,358.16, or 0.99% of merchandise net revenue.",product_month_net_revenue_summary.csv
q_0082,test,product_revenue_share_month,hard,What percentage of merchandise net revenue in October 2011 came from the top product?,"In October 2011, the top product (22423 - REGENCY CAKESTAND 3 TIER) contributed GBP 12,635.34 out of GBP 1,061,714.60, or 1.19% of merchandise net revenue.",product_month_net_revenue_summary.csv
q_0083,train,product_revenue_share_month,hard,What percentage of merchandise net revenue in November 2011 came from the top product?,"In November 2011, the top product (23084 - RABBIT NIGHT LIGHT) contributed GBP 34,343.77 out of GBP 1,427,121.25, or 2.41% of merchandise net revenue.",product_month_net_revenue_summary.csv
q_0084,train,product_revenue_share_month,hard,What percentage of merchandise net revenue in January 2011 came from the top 3 products combined?,"In January 2011, the top 3 products contributed GBP 33,787.17 out of GBP 578,914.41, or 5.84% of merchandise net revenue.",product_month_net_revenue_summary.csv
q_0085,train,product_revenue_share_month,hard,What percentage of merchandise net revenue in March 2011 came from the top 3 products combined?,"In March 2011, the top 3 products contributed GBP 36,032.55 out of GBP 679,212.52, or 5.31% of merchandise net revenue.",product_month_net_revenue_summary.csv
q_0086,dev,product_revenue_share_month,hard,What percentage of merchandise net revenue in June 2011 came from the top 3 products combined?,"In June 2011, the top 3 products contributed GBP 61,525.31 out of GBP 723,970.15, or 8.50% of merchandise net revenue.",product_month_net_revenue_summary.csv
q_0087,test,product_revenue_share_month,hard,What percentage of merchandise net revenue in September 2011 came from the top 3 products combined?,"In September 2011, the top 3 products contributed GBP 27,916.99 out of GBP 1,011,358.16, or 2.76% of merchandise net revenue.",product_month_net_revenue_summary.csv
q_0088,train,product_revenue_share_month,hard,What percentage of merchandise net revenue in November 2011 came from the top 3 products combined?,"In November 2011, the top 3 products contributed GBP 77,311.21 out of GBP 1,427,121.25, or 5.42% of merchandise net revenue.",product_month_net_revenue_summary.csv
q_0089,train,return_impact_month,hard,"In December 2010, how much did cancellations and returns reduce gross positive revenue, and what was the final net revenue?","Cancellations and returns reduced gross positive revenue by GBP 74,729.12 (9.10% of gross), leaving net revenue of GBP 746,723.61.",monthly_net_revenue_summary.csv
q_0090,train,return_impact_month,hard,"In January 2011, how much did cancellations and returns reduce gross positive revenue, and what was the final net revenue?","Cancellations and returns reduced gross positive revenue by GBP 131,363.05 (19.04% of gross), leaving net revenue of GBP 558,448.56.",monthly_net_revenue_summary.csv
q_0091,train,return_impact_month,hard,"In February 2011, how much did cancellations and returns reduce gross positive revenue, and what was the final net revenue?","Cancellations and returns reduced gross positive revenue by GBP 25,519.15 (4.88% of gross), leaving net revenue of GBP 497,026.41.",monthly_net_revenue_summary.csv
q_0092,dev,return_impact_month,hard,"In March 2011, how much did cancellations and returns reduce gross positive revenue, and what was the final net revenue?","Cancellations and returns reduced gross positive revenue by GBP 34,201.28 (4.78% of gross), leaving net revenue of GBP 682,013.98.",monthly_net_revenue_summary.csv
q_0093,test,return_impact_month,hard,"In April 2011, how much did cancellations and returns reduce gross positive revenue, and what was the final net revenue?","Cancellations and returns reduced gross positive revenue by GBP 44,600.65 (8.31% of gross), leaving net revenue of GBP 492,367.84.",monthly_net_revenue_summary.csv
q_0094,train,return_impact_month,hard,"In May 2011, how much did cancellations and returns reduce gross positive revenue, and what was the final net revenue?","Cancellations and returns reduced gross positive revenue by GBP 47,202.51 (6.14% of gross), leaving net revenue of GBP 722,094.10.",monthly_net_revenue_summary.csv
q_0095,train,return_impact_month,hard,"In June 2011, how much did cancellations and returns reduce gross positive revenue, and what was the final net revenue?","Cancellations and returns reduced gross positive revenue by GBP 70,569.78 (9.28% of gross), leaving net revenue of GBP 689,977.23.",monthly_net_revenue_summary.csv
q_0096,train,return_impact_month,hard,"In July 2011, how much did cancellations and returns reduce gross positive revenue, and what was the final net revenue?","Cancellations and returns reduced gross positive revenue by GBP 37,919.13 (5.28% of gross), leaving net revenue of GBP 680,156.99.",monthly_net_revenue_summary.csv
q_0097,dev,return_impact_month,hard,"In August 2011, how much did cancellations and returns reduce gross positive revenue, and what was the final net revenue?","Cancellations and returns reduced gross positive revenue by GBP 54,330.80 (7.17% of gross), leaving net revenue of GBP 703,510.58.",monthly_net_revenue_summary.csv
q_0098,test,return_impact_month,hard,"In September 2011, how much did cancellations and returns reduce gross positive revenue, and what was the final net revenue?","Cancellations and returns reduced gross positive revenue by GBP 38,838.51 (3.68% of gross), leaving net revenue of GBP 1,017,596.68.",monthly_net_revenue_summary.csv
q_0099,train,return_impact_month,hard,"In October 2011, how much did cancellations and returns reduce gross positive revenue, and what was the final net revenue?","Cancellations and returns reduced gross positive revenue by GBP 81,895.50 (7.11% of gross), leaving net revenue of GBP 1,069,368.23.",monthly_net_revenue_summary.csv
q_0100,train,return_impact_month,hard,"In November 2011, how much did cancellations and returns reduce gross positive revenue, and what was the final net revenue?","Cancellations and returns reduced gross positive revenue by GBP 47,720.98 (3.17% of gross), leaving net revenue of GBP 1,456,145.80.",monthly_net_revenue_summary.csv
