family,baseline_role,baseline,score_group,score_field,threshold,score,score_margin,error_type,actual_class,predicted_class,annotation_id,question_id,prompt_id,split,question_type,difficulty,fact_type,label,binary_label,span_text,token_count,question,gold_short_answer,annotation_reason,annotation_confidence,annotation_notes,gold_reference,generated_excerpt,generated_text,evidence_table_markdown,example_rank,selection_reason
simple,simple_best_test_auprc,one_minus_min_top2_margin,simple_uncertainty,one_minus_min_top2_margin,0.334333,6e-06,-0.334327,false_negative,positive,negative,ann_full100_draft_q_0064_008,q_0064,p_0064,test,top3_products_month,medium,ranking,hallucinated_key_fact,1,3.,2,"What were the top 3 products by merchandise net revenue in April 2011? Give the rank, stock code, product name, and net revenue.","Top 3 products in April 2011: 1. 22423 (REGENCY CAKESTAND 3 TIER), GBP 14,280.90; 2. 47566 (PARTY BUNTING), GBP 10,323.87; 3. 22084 (PAPER CHAIN KIT EMPIRE), GBP 6,619.51.",The rank-3 marker is tied to the wrong generated product.,high,draft_round3; list_rank_marker; wrong_rank3_item,"{""fact_type"": ""ranking"", ""field"": ""top_products[2].rank_item"", ""gold_display_value"": ""3. 22084 / PAPER CHAIN KIT EMPIRE"", ""gold_value"": ""3. 22084""}","...) with a net revenue of GBP 14,280.90. 2. **PARTY BUNTING** (rank 2) with a net revenue of GBP 10,323.87. [[3.]] **WOODEN UNION JACK BUNTING** (rank 3) with a net revenue of GBP 4,173.18.","The top 3 products by merchandise net revenue in April 2011 were:  
1. **REGENCY CAKESTAND 3 TIER** (rank 1) with a net revenue of GBP 14,280.90.  
2. **PARTY BUNTING** (rank 2) with a net revenue of GBP 10,323.87.  
3. **WOODEN UNION JACK BUNTING** (rank 3) with a net revenue of GBP 4,173.18.","| stock_code | product_name | net_revenue_gbp | gross_positive_revenue_gbp | cancellation_return_revenue_gbp |
| --- | --- | --- | --- | --- |
| 22423 | REGENCY CAKESTAND 3 TIER | 14280.90 | 14812.95 | -532.05 |
| 22499 | WOODEN UNION JACK BUNTING | 4173.18 | 4191.03 | -17.85 |
| 47566 | PARTY BUNTING | 10323.87 | 10778.47 | -454.60 |
| 85099B | JUMBO BAG RED RETROSPOT | 4870.92 | 4878.08 | -7.16 |
| 85123A | WHITE HANGING HEART T-LIGHT HOLDER | 5078.59 | 10017.79 | -4939.20 |
| 22084 | PAPER CHAIN KIT EMPIRE | 6619.51 | 6634.26 | -14.75 |
| 84879 | ASSORTED COLOUR BIRD ORNAMENT | 4174.24 | 4174.24 | 0.00 |
| 22087 | PAPER BUNTING WHITE LACE | 3512.24 | 3579.69 | -67.45 |",1,largest absolute score margin for one_minus_min_top2_margin false_negative
simple,simple_best_test_auprc,one_minus_min_top2_margin,simple_uncertainty,one_minus_min_top2_margin,0.334333,7e-06,-0.334326,false_negative,positive,negative,ann_full100_draft_q_0069_008,q_0069,p_0069,test,top3_products_month,medium,ranking,hallucinated_key_fact,1,3.,2,"What were the top 3 products by merchandise net revenue in September 2011? Give the rank, stock code, product name, and net revenue.","Top 3 products in September 2011: 1. 23243 (SET OF TEA COFFEE SUGAR TINS PANTRY), GBP 9,971.51; 2. 22423 (REGENCY CAKESTAND 3 TIER), GBP 9,315.03; 3. 85099B (JUMBO BAG RED RETROSPOT), GBP 8,630.45.",The rank-3 marker is tied to the wrong generated product.,high,draft_round4; list_rank_marker; wrong_rank3_item,"{""fact_type"": ""ranking"", ""field"": ""top_products[2].rank_item"", ""gold_display_value"": ""3. 85099B / JUMBO BAG RED RETROSPOT"", ""gold_value"": ""3. 85099B""}",...revenue of GBP 8630.45. 2. **PAPER CHAIN KIT 50'S CHRISTMAS** (rank 2) with a net revenue of GBP 5997.25. [[3.]] **REGENCY CAKESTAND 3 TIER** (rank 3) with a net revenue of GBP 9315.03.,"The top 3 products by merchandise net revenue in September 2011 were:  
1. **JUMBO BAG RED RETROSPOT** (rank 1) with a net revenue of GBP 8630.45.  
2. **PAPER CHAIN KIT 50'S CHRISTMAS** (rank 2) with a net revenue of GBP 5997.25.  
3. **REGENCY CAKESTAND 3 TIER** (rank 3) with a net revenue of GBP 9315.03.","| stock_code | product_name | net_revenue_gbp | gross_positive_revenue_gbp | cancellation_return_revenue_gbp |
| --- | --- | --- | --- | --- |
| 85123A | WHITE HANGING HEART T-LIGHT HOLDER | 6880.76 | 6945.66 | -64.90 |
| 22720 | SET OF 3 CAKE TINS PANTRY DESIGN | 6250.48 | 6285.13 | -34.65 |
| 22423 | REGENCY CAKESTAND 3 TIER | 9315.03 | 9619.53 | -304.50 |
| 23355 | HOT WATER BOTTLE KEEP CALM | 6229.79 | 6254.54 | -24.75 |
| 23243 | SET OF TEA COFFEE SUGAR TINS PANTRY | 9971.51 | 9981.41 | -9.90 |
| 22086 | PAPER CHAIN KIT 50'S CHRISTMAS | 5997.25 | 5997.25 | 0.00 |
| 85099B | JUMBO BAG RED RETROSPOT | 8630.45 | 8880.17 | -249.72 |
| 47566 | PARTY BUNTING | 6113.70 | 6383.15 | -269.45 |",2,largest absolute score margin for one_minus_min_top2_margin false_negative
simple,simple_best_test_auprc,one_minus_min_top2_margin,simple_uncertainty,one_minus_min_top2_margin,0.334333,1.6e-05,-0.334317,false_negative,positive,negative,ann_full100_draft_q_0069_005,q_0069,p_0069,test,top3_products_month,medium,ranking,hallucinated_key_fact,1,2.,2,"What were the top 3 products by merchandise net revenue in September 2011? Give the rank, stock code, product name, and net revenue.","Top 3 products in September 2011: 1. 23243 (SET OF TEA COFFEE SUGAR TINS PANTRY), GBP 9,971.51; 2. 22423 (REGENCY CAKESTAND 3 TIER), GBP 9,315.03; 3. 85099B (JUMBO BAG RED RETROSPOT), GBP 8,630.45.",The rank-2 marker is tied to the wrong generated product.,high,draft_round4; list_rank_marker; wrong_rank2_item,"{""fact_type"": ""ranking"", ""field"": ""top_products[1].rank_item"", ""gold_display_value"": ""2. 22423 / REGENCY CAKESTAND 3 TIER"", ""gold_value"": ""2. 22423""}",...evenue in September 2011 were: 1. **JUMBO BAG RED RETROSPOT** (rank 1) with a net revenue of GBP 8630.45. [[2.]] **PAPER CHAIN KIT 50'S CHRISTMAS** (rank 2) with a net revenue of GBP 5997.25. 3. **REGENCY CAKESTAND 3 TIE...,"The top 3 products by merchandise net revenue in September 2011 were:  
1. **JUMBO BAG RED RETROSPOT** (rank 1) with a net revenue of GBP 8630.45.  
2. **PAPER CHAIN KIT 50'S CHRISTMAS** (rank 2) with a net revenue of GBP 5997.25.  
3. **REGENCY CAKESTAND 3 TIER** (rank 3) with a net revenue of GBP 9315.03.","| stock_code | product_name | net_revenue_gbp | gross_positive_revenue_gbp | cancellation_return_revenue_gbp |
| --- | --- | --- | --- | --- |
| 85123A | WHITE HANGING HEART T-LIGHT HOLDER | 6880.76 | 6945.66 | -64.90 |
| 22720 | SET OF 3 CAKE TINS PANTRY DESIGN | 6250.48 | 6285.13 | -34.65 |
| 22423 | REGENCY CAKESTAND 3 TIER | 9315.03 | 9619.53 | -304.50 |
| 23355 | HOT WATER BOTTLE KEEP CALM | 6229.79 | 6254.54 | -24.75 |
| 23243 | SET OF TEA COFFEE SUGAR TINS PANTRY | 9971.51 | 9981.41 | -9.90 |
| 22086 | PAPER CHAIN KIT 50'S CHRISTMAS | 5997.25 | 5997.25 | 0.00 |
| 85099B | JUMBO BAG RED RETROSPOT | 8630.45 | 8880.17 | -249.72 |
| 47566 | PARTY BUNTING | 6113.70 | 6383.15 | -269.45 |",3,largest absolute score margin for one_minus_min_top2_margin false_negative
simple,simple_best_test_auprc,one_minus_min_top2_margin,simple_uncertainty,one_minus_min_top2_margin,0.334333,1.9e-05,-0.334314,false_negative,positive,negative,ann_full100_draft_q_0064_010,q_0064,p_0064,test,top3_products_month,medium,currency_amount,hallucinated_key_fact,1,"GBP 4,173.18",10,"What were the top 3 products by merchandise net revenue in April 2011? Give the rank, stock code, product name, and net revenue.","Top 3 products in April 2011: 1. 22423 (REGENCY CAKESTAND 3 TIER), GBP 14,280.90; 2. 47566 (PARTY BUNTING), GBP 10,323.87; 3. 22084 (PAPER CHAIN KIT EMPIRE), GBP 6,619.51.","Gold rank-3 revenue is GBP 6,619.51, not GBP 4,173.18.",high,draft_round3; wrong_rank3_amount,"{""fact_type"": ""currency_amount"", ""field"": ""top_products[2].merchandise_net_revenue"", ""gold_display_value"": ""GBP 6,619.51"", ""gold_value"": 6619.51}","...ank 2) with a net revenue of GBP 10,323.87. 3. **WOODEN UNION JACK BUNTING** (rank 3) with a net revenue of [[GBP 4,173.18]].","The top 3 products by merchandise net revenue in April 2011 were:  
1. **REGENCY CAKESTAND 3 TIER** (rank 1) with a net revenue of GBP 14,280.90.  
2. **PARTY BUNTING** (rank 2) with a net revenue of GBP 10,323.87.  
3. **WOODEN UNION JACK BUNTING** (rank 3) with a net revenue of GBP 4,173.18.","| stock_code | product_name | net_revenue_gbp | gross_positive_revenue_gbp | cancellation_return_revenue_gbp |
| --- | --- | --- | --- | --- |
| 22423 | REGENCY CAKESTAND 3 TIER | 14280.90 | 14812.95 | -532.05 |
| 22499 | WOODEN UNION JACK BUNTING | 4173.18 | 4191.03 | -17.85 |
| 47566 | PARTY BUNTING | 10323.87 | 10778.47 | -454.60 |
| 85099B | JUMBO BAG RED RETROSPOT | 4870.92 | 4878.08 | -7.16 |
| 85123A | WHITE HANGING HEART T-LIGHT HOLDER | 5078.59 | 10017.79 | -4939.20 |
| 22084 | PAPER CHAIN KIT EMPIRE | 6619.51 | 6634.26 | -14.75 |
| 84879 | ASSORTED COLOUR BIRD ORNAMENT | 4174.24 | 4174.24 | 0.00 |
| 22087 | PAPER BUNTING WHITE LACE | 3512.24 | 3579.69 | -67.45 |",4,largest absolute score margin for one_minus_min_top2_margin false_negative
simple,simple_best_test_auprc,one_minus_min_top2_margin,simple_uncertainty,one_minus_min_top2_margin,0.334333,3.2e-05,-0.334301,false_negative,positive,negative,ann_full100_draft_q_0069_010,q_0069,p_0069,test,top3_products_month,medium,currency_amount,hallucinated_key_fact,1,GBP 9315.03,9,"What were the top 3 products by merchandise net revenue in September 2011? Give the rank, stock code, product name, and net revenue.","Top 3 products in September 2011: 1. 23243 (SET OF TEA COFFEE SUGAR TINS PANTRY), GBP 9,971.51; 2. 22423 (REGENCY CAKESTAND 3 TIER), GBP 9,315.03; 3. 85099B (JUMBO BAG RED RETROSPOT), GBP 8,630.45.","GBP 9,315.03 is the gold rank-2 revenue, but the generated answer uses it for rank 3.",high,draft_round4; wrong_rank3_amount; correct_amount_used_in_wrong_rank,"{""fact_type"": ""currency_amount"", ""field"": ""top_products[2].merchandise_net_revenue"", ""gold_display_value"": ""GBP 8,630.45"", ""gold_value"": 8630.45}",... (rank 2) with a net revenue of GBP 5997.25. 3. **REGENCY CAKESTAND 3 TIER** (rank 3) with a net revenue of [[GBP 9315.03]].,"The top 3 products by merchandise net revenue in September 2011 were:  
1. **JUMBO BAG RED RETROSPOT** (rank 1) with a net revenue of GBP 8630.45.  
2. **PAPER CHAIN KIT 50'S CHRISTMAS** (rank 2) with a net revenue of GBP 5997.25.  
3. **REGENCY CAKESTAND 3 TIER** (rank 3) with a net revenue of GBP 9315.03.","| stock_code | product_name | net_revenue_gbp | gross_positive_revenue_gbp | cancellation_return_revenue_gbp |
| --- | --- | --- | --- | --- |
| 85123A | WHITE HANGING HEART T-LIGHT HOLDER | 6880.76 | 6945.66 | -64.90 |
| 22720 | SET OF 3 CAKE TINS PANTRY DESIGN | 6250.48 | 6285.13 | -34.65 |
| 22423 | REGENCY CAKESTAND 3 TIER | 9315.03 | 9619.53 | -304.50 |
| 23355 | HOT WATER BOTTLE KEEP CALM | 6229.79 | 6254.54 | -24.75 |
| 23243 | SET OF TEA COFFEE SUGAR TINS PANTRY | 9971.51 | 9981.41 | -9.90 |
| 22086 | PAPER CHAIN KIT 50'S CHRISTMAS | 5997.25 | 5997.25 | 0.00 |
| 85099B | JUMBO BAG RED RETROSPOT | 8630.45 | 8880.17 | -249.72 |
| 47566 | PARTY BUNTING | 6113.70 | 6383.15 | -269.45 |",5,largest absolute score margin for one_minus_min_top2_margin false_negative
simple,simple_best_test_auprc,one_minus_min_top2_margin,simple_uncertainty,one_minus_min_top2_margin,0.334333,0.969707,0.635374,false_positive,negative,positive,ann_full100_draft_q_0054_005,q_0054,p_0054,test,monthly_revenue_change,hard,percentage,correct_key_fact,0,-4.14%,6,How did net revenue change from May 2011 to June 2011? Provide the absolute change and percentage change.,"Net revenue decreased by GBP 32,116.87 (-4.45%) from May 2011 to June 2011.",Generated percentage change is within tolerance of -4.45%.,high,draft_round2; correct_percent_change; first_result_claim,"{""fact_type"": ""percentage"", ""field"": ""percent_change"", ""gold_display_value"": ""-4.45%"", ""gold_value"": -4.45, ""tolerance"": {""percentage_points"": 0.5}}","From May 2011 to June 2011, net revenue decreased by **GBP 3,121.37**, representing a **[[-4.14%]]** change. The absolute change is **-GBP 3,121.37**, and the percentage change is **-4.14%**.","From May 2011 to June 2011, net revenue decreased by **GBP 3,121.37**, representing a **-4.14%** change. The absolute change is **-GBP 3,121.37**, and the percentage change is **-4.14%**.","| year_month | net_revenue_gbp | gross_positive_revenue_gbp | cancellation_return_revenue_gbp | invoice_count |
| --- | --- | --- | --- | --- |
| 2011-05 | 722094.10 | 769296.61 | -47202.51 | 1995 |
| 2011-06 | 689977.23 | 760547.01 | -70569.78 | 1862 |",1,largest absolute score margin for one_minus_min_top2_margin false_positive
simple,simple_best_test_auprc,one_minus_min_top2_margin,simple_uncertainty,one_minus_min_top2_margin,0.334333,0.910483,0.57615,false_positive,negative,positive,ann_full100_draft_q_0093_002,q_0093,p_0093,test,return_impact_month,hard,currency_amount,correct_key_fact,0,"£44,600.65",10,"In April 2011, how much did cancellations and returns reduce gross positive revenue, and what was the final net revenue?","Cancellations and returns reduced gross positive revenue by GBP 44,600.65 (8.31% of gross), leaving net revenue of GBP 492,367.84.","Generated reduction amount matches GBP 44,600.65; the pound symbol is treated as GBP-compatible in this context.",high,draft_round1; correct_reduction_amount; pound_symbol_for_gbp,"{""fact_type"": ""currency_amount"", ""field"": ""reduction_amount"", ""gold_display_value"": ""GBP 44,600.65"", ""gold_value"": 44600.65, ""tolerance"": {""absolute"": 1.0, ""relative_percent"": 0.5}}","In April 2011, cancellations and returns reduced gross positive revenue by [[£44,600.65]], resulting in a final net revenue of £44,600.65.","In April 2011, cancellations and returns reduced gross positive revenue by £44,600.65, resulting in a final net revenue of £44,600.65.","| year_month | net_revenue_gbp | gross_positive_revenue_gbp | cancellation_return_revenue_gbp | invoice_count |
| --- | --- | --- | --- | --- |
| 2011-04 | 492367.84 | 536968.49 | -44600.65 | 1486 |",2,largest absolute score margin for one_minus_min_top2_margin false_positive
simple,simple_best_test_auprc,one_minus_min_top2_margin,simple_uncertainty,one_minus_min_top2_margin,0.334333,0.799101,0.464768,false_positive,negative,positive,ann_full100_draft_q_0064_004,q_0064,p_0064,test,top3_products_month,medium,currency_amount,correct_key_fact,0,"GBP 14,280.90",11,"What were the top 3 products by merchandise net revenue in April 2011? Give the rank, stock code, product name, and net revenue.","Top 3 products in April 2011: 1. 22423 (REGENCY CAKESTAND 3 TIER), GBP 14,280.90; 2. 47566 (PARTY BUNTING), GBP 10,323.87; 3. 22084 (PAPER CHAIN KIT EMPIRE), GBP 6,619.51.",Generated rank-1 revenue matches the gold rank-1 revenue.,high,draft_round3; correct_rank1_amount,"{""fact_type"": ""currency_amount"", ""field"": ""top_products[0].merchandise_net_revenue"", ""gold_display_value"": ""GBP 14,280.90"", ""gold_value"": 14280.9}","... merchandise net revenue in April 2011 were: 1. **REGENCY CAKESTAND 3 TIER** (rank 1) with a net revenue of [[GBP 14,280.90]]. 2. **PARTY BUNTING** (rank 2) with a net revenue of GBP 10,323.87. 3. **WOODEN UNION JACK BUNTING** (ran...","The top 3 products by merchandise net revenue in April 2011 were:  
1. **REGENCY CAKESTAND 3 TIER** (rank 1) with a net revenue of GBP 14,280.90.  
2. **PARTY BUNTING** (rank 2) with a net revenue of GBP 10,323.87.  
3. **WOODEN UNION JACK BUNTING** (rank 3) with a net revenue of GBP 4,173.18.","| stock_code | product_name | net_revenue_gbp | gross_positive_revenue_gbp | cancellation_return_revenue_gbp |
| --- | --- | --- | --- | --- |
| 22423 | REGENCY CAKESTAND 3 TIER | 14280.90 | 14812.95 | -532.05 |
| 22499 | WOODEN UNION JACK BUNTING | 4173.18 | 4191.03 | -17.85 |
| 47566 | PARTY BUNTING | 10323.87 | 10778.47 | -454.60 |
| 85099B | JUMBO BAG RED RETROSPOT | 4870.92 | 4878.08 | -7.16 |
| 85123A | WHITE HANGING HEART T-LIGHT HOLDER | 5078.59 | 10017.79 | -4939.20 |
| 22084 | PAPER CHAIN KIT EMPIRE | 6619.51 | 6634.26 | -14.75 |
| 84879 | ASSORTED COLOUR BIRD ORNAMENT | 4174.24 | 4174.24 | 0.00 |
| 22087 | PAPER BUNTING WHITE LACE | 3512.24 | 3579.69 | -67.45 |",3,largest absolute score margin for one_minus_min_top2_margin false_positive
simple,simple_best_test_auprc,one_minus_min_top2_margin,simple_uncertainty,one_minus_min_top2_margin,0.334333,0.769828,0.435495,false_positive,negative,positive,ann_full100_draft_q_0064_006,q_0064,p_0064,test,top3_products_month,medium,product_name,correct_key_fact,0,PARTY BUNTING,5,"What were the top 3 products by merchandise net revenue in April 2011? Give the rank, stock code, product name, and net revenue.","Top 3 products in April 2011: 1. 22423 (REGENCY CAKESTAND 3 TIER), GBP 14,280.90; 2. 47566 (PARTY BUNTING), GBP 10,323.87; 3. 22084 (PAPER CHAIN KIT EMPIRE), GBP 6,619.51.",Generated rank-2 product matches the gold rank-2 product.,high,draft_round3; correct_rank2_product,"{""fact_type"": ""product_name"", ""field"": ""top_products[1].description"", ""gold_display_value"": ""PARTY BUNTING"", ""gold_value"": ""PARTY BUNTING""}","...ue in April 2011 were: 1. **REGENCY CAKESTAND 3 TIER** (rank 1) with a net revenue of GBP 14,280.90. 2. **[[PARTY BUNTING]]** (rank 2) with a net revenue of GBP 10,323.87. 3. **WOODEN UNION JACK BUNTING** (rank 3) with a net revenu...","The top 3 products by merchandise net revenue in April 2011 were:  
1. **REGENCY CAKESTAND 3 TIER** (rank 1) with a net revenue of GBP 14,280.90.  
2. **PARTY BUNTING** (rank 2) with a net revenue of GBP 10,323.87.  
3. **WOODEN UNION JACK BUNTING** (rank 3) with a net revenue of GBP 4,173.18.","| stock_code | product_name | net_revenue_gbp | gross_positive_revenue_gbp | cancellation_return_revenue_gbp |
| --- | --- | --- | --- | --- |
| 22423 | REGENCY CAKESTAND 3 TIER | 14280.90 | 14812.95 | -532.05 |
| 22499 | WOODEN UNION JACK BUNTING | 4173.18 | 4191.03 | -17.85 |
| 47566 | PARTY BUNTING | 10323.87 | 10778.47 | -454.60 |
| 85099B | JUMBO BAG RED RETROSPOT | 4870.92 | 4878.08 | -7.16 |
| 85123A | WHITE HANGING HEART T-LIGHT HOLDER | 5078.59 | 10017.79 | -4939.20 |
| 22084 | PAPER CHAIN KIT EMPIRE | 6619.51 | 6634.26 | -14.75 |
| 84879 | ASSORTED COLOUR BIRD ORNAMENT | 4174.24 | 4174.24 | 0.00 |
| 22087 | PAPER BUNTING WHITE LACE | 3512.24 | 3579.69 | -67.45 |",4,largest absolute score margin for one_minus_min_top2_margin false_positive
simple,simple_best_test_auprc,one_minus_min_top2_margin,simple_uncertainty,one_minus_min_top2_margin,0.334333,0.700917,0.366584,false_positive,negative,positive,ann_full100_draft_q_0098_002,q_0098,p_0098,test,return_impact_month,hard,currency_amount,correct_key_fact,0,"GBP 38,838.51",11,"In September 2011, how much did cancellations and returns reduce gross positive revenue, and what was the final net revenue?","Cancellations and returns reduced gross positive revenue by GBP 38,838.51 (3.68% of gross), leaving net revenue of GBP 1,017,596.68.","Generated reduction amount matches GBP 38,838.51.",high,draft_round4; correct_reduction_amount,"{""fact_type"": ""currency_amount"", ""field"": ""reduction_amount"", ""gold_display_value"": ""GBP 38,838.51"", ""gold_value"": 38838.51, ""tolerance"": {""absolute"": 1.0, ""relative_percent"": 0.5}}","In September 2011, cancellations and returns reduced gross positive revenue by [[GBP 38,838.51]], resulting in a net revenue of GBP 101,759.68.","In September 2011, cancellations and returns reduced gross positive revenue by GBP 38,838.51, resulting in a net revenue of GBP 101,759.68.","| year_month | net_revenue_gbp | gross_positive_revenue_gbp | cancellation_return_revenue_gbp | invoice_count |
| --- | --- | --- | --- | --- |
| 2011-09 | 1017596.68 | 1056435.19 | -38838.51 | 2170 |",5,largest absolute score margin for one_minus_min_top2_margin false_positive
